,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000
0,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454,27259040.3467454
1,21933507.149742037,21743886.211873233,21852178.261964817,21869013.092841998,21819891.02596164,21888348.147071667,21867443.978894554,21936571.551723458,21971878.147458892,21993103.56256308,21914292.188690234,21923687.664522108,22055481.905979164,21887588.25050442,21972234.581936825,21924913.609584037,22013954.438397627,21901470.749765847,21962449.87671141
2,21579289.570757624,21707787.75346125,21723381.197489846,21708636.907093544,21749045.358969405,21708719.75652664,21788750.048472915,21817968.581804577,21797927.74968002,21824409.91373029,21759453.17481359,21753080.619714163,21873193.725381978,21775280.307771124,21776953.116847854,21776527.81031608,21817486.430439305,21766859.932646118,21838272.88100114
3,21049307.77707738,20864161.295151692,21266552.132972628,21071573.017195452,20863981.20730298,20931387.150434382,20997579.734805573,20986693.22434088,21104890.626938175,21062130.76268673,21080070.340487048,21106917.650627024,21149867.009729177,21054436.570519447,21143830.197332982,20980620.882833797,21112908.664880544,21127227.237811767,21159073.478649583
4,20555700.98527252,20684512.449273024,20905036.83178378,20821165.352196436,20657929.766208038,20600272.405882772,20765975.060526118,20739047.62070676,20715213.72013666,20827819.820326753,20662908.031196363,20800493.25226074,20896782.298409827,20750213.140748873,20914866.08521167,20760911.392010503,20874453.77936026,20810936.562848218,20863921.616590917
5,20745466.711346287,20691849.311838426,20827162.866062425,20804786.788983013,20661555.784970053,20632832.033173103,20735459.84325711,20766315.17930031,20669342.299840722,20853941.636780486,20618829.801292714,20823214.512218226,20843501.832361557,20728692.621936984,20857905.208753068,20722916.163431853,20852406.478982933,20808003.954534747,20885259.110555507
6,20423968.228535708,20615040.642663978,20661675.956315584,20621582.680606112,20557077.238220677,20368630.05230368,20641592.430570997,20618118.274792455,20558461.56655699,20586876.474595226,20636732.17392293,20592251.57318138,20782303.357280646,20638296.463664852,20734003.183555715,20661684.51154129,20774650.460485864,20686882.385852557,20737544.431710605
7,20398287.486204572,20570733.40362013,20547371.848923173,20583888.10497963,20447282.28545333,20395558.625259984,20520868.547134332,20591128.45331287,20470929.977817934,20459306.91205669,20523868.06538211,20563858.89152505,20695784.073800504,20605053.6229787,20640749.27500426,20549252.58342616,20738364.510831006,20611177.581584077,20706096.189911943
8,20384748.200843304,20463627.290856227,20384948.465176243,20564457.888233267,20459131.75524476,20352662.48426162,20516885.7354853,20549006.69138263,20502016.544607326,20439981.076911367,20522164.596322283,20554728.86175014,20657949.489578664,20571496.166557007,20606004.778022833,20537473.81993899,20707942.782039933,20592344.55285889,20683191.784173246
