,cf_lower,cf_upper
nsample_104,21231744.975761913,35228740.6096514
nsample_117,21317740.34084703,35263172.21194363
nsample_130,21299606.978288054,35225981.971299976
nsample_143,21330079.059346437,35216981.58414458
nsample_156,21325404.060393654,35227677.95458071
nsample_169,21342833.247782357,35215455.9698373
nsample_182,21315317.51868496,35183908.638716444
nsample_195,21324230.49039557,35227451.36822889
nsample_208,21353117.448919713,35328590.53860288
nsample_221,21329946.163760252,35196851.20696302
nsample_234,21311889.771570925,35156279.9628336
