,ST
BankFullFlow,0.1558592440914357
bankErosionCoeff,0.3809786506535803
BankHeight_M,0.036813451042650554
bankMgtFactor,0.017344795772634904
eventMeanConcentration,0.01594219629515098
HillSlopeFinePerc,0.0013094078229713268
HillslopeFineSDR,0.04752291731864128
Load_Conversion_Factor,0.0016032562865516365
RiparianVegPercent,0.065604958854562
sedBulkDensity,0.005023275758171577
SoilErodibility,0.021583136018493956
SoilPercentFine,0.01768432371021066
USLE_HSDR_Fine,0.040007426030786365
A3,0.0009043384664122031
RainThreshold,0.0015128297213328702
Beta,0.2086067671463284
LinkLength_M,0.0010548967971479649
Link_Slope,0.0046019951542404505
LongTermAvDailyFlow,0.017016932711503868
Gully_Management_Practice_Factor,0.0011191966749112062
Gully_SDR_Fine,0.0009769852957587474
maxRiparianVegEffectiveness,0.0009982090409056622
